,9619208: How would you rate your Python proficiency?,9619209: How comfortable are you with Git/GitHub?,9619210: What is your level in data cleaning/preprocessing?,9619211: How would you describe your Exploratory Data Analysis (EDA) skills?,9619212: What’s your proficiency in data visualization?,9602345: Which best captures your ML foundations?,9619215: How proficient are you with ML tooling?,9602349: What’s your experience level with LLMs?,9602350: How experienced are you with deployment/DevOps?,9602351: What is your cloud familiarity (AWS/GCP/Azure)?,"9602356: On a scale of 1–10, how comfortable are you with self-directed learning  debugging?",9602417: What are your top 3 learning goals for this course? (Short phrases; list three.),9602418: Do you have any concerns about prerequisites or background? (Briefly describe.),"9602426: Which specific tools or topics do you hope we cover? (Name libraries, platforms, or themes.)"
27,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)",,"Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),No LLM experience,,,3–4 Somewhat uncomfortable (prefer close support),"More confident in coding process from where to start all the way to fixing issues.

Gaining a better understanding of what solutions are applicable in certain domains.

Git hub - barely understand all the applications and ways to use.",Not much but only started coding this time last year so it feels like I'm drinking through a firehose a bit.,Like to learn more about AWS and the cloud
28,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),Theoretical only (coursework/reading),Basic (scikit-learn pipelines; standard models),No LLM experience,,,"5–6 Neutral (can try first, then seek help)","Learn more about data science and the intricacies related to coding/computing 
get a good grade for my degree so I can graduate in the spring

Develop more skills related to the field of data science for my future career","somewhat, only that I'm not the best at coding ","unsure, looking forward to learning more "
29,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),No LLM experience,,"Basic (compute/storage setup, permissions basics)",7–8 Comfortable (usually solve with docs/forums),"Get more comfortable with data presentation

More practice with project management

Stay engaged","Deployment/DevOps (I learned it in theory but I don't remember in practice) and my preparedness, visualizations",
30,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)","Intermediate (hyperparameter tuning, cross-validation, feature engineering)","Intermediate (code gen/debugging, data exploration)",Basic (Streamlit/Gradio; simple hosting),,7–8 Comfortable (usually solve with docs/forums),"Custom LM Training 

AWS/Online Solutions 

Familiarity with Enterprise Solutions  ",,
31,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)",Advanced (dashboards/storytelling; audience-appropriate design),Theoretical only (coursework/reading),Basic (scikit-learn pipelines; standard models),No LLM experience,,"Basic (compute/storage setup, permissions basics)",7–8 Comfortable (usually solve with docs/forums),"* Analyze Data ( in general, better communicate and explain the visualization and storytelling)

* Better in Python, Power BI, and other tools.

* Get better in targeted diagnostics and experiment design. ","No, ","Plots, libraries, and themes. "
32,"Advanced (testing, packaging, async, profiling)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)",Basic (scikit-learn pipelines; standard models),No LLM experience,Basic (Streamlit/Gradio; simple hosting),,"5–6 Neutral (can try first, then seek help)","Furthering my understanding LLM

Learning less theoretical work, more practical everyday job processes. 

An introduction to cloud computing and cloud services. ",I might not be that familiar with some of the streamlining things. ,I really do enjoy the ethics side of AI and data science. A lot more regulations and laws are coming out targeting certain AI usage cases and data usage. 
33,"Basic (variables, loops, lists; simple scripts)",Never used,"Basic (remove duplicates, simple imputations)",,Basic (matplotlib/Excel charts),No experience,,No LLM experience,,,"5–6 Neutral (can try first, then seek help)",I really don't have any learning goals. I'd liked to consume as much information that I can that could help me in the workforce. ,No,Power BI 
34,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),No LLM experience,,,3–4 Somewhat uncomfortable (prefer close support),"Be able to interpret data insights

Understand and be fluent in coding

Develop visualization skills",nope,PowerBi or tableau
35,"Advanced (testing, packaging, async, profiling)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)",Advanced (dashboards/storytelling; audience-appropriate design),"Projects (train/val/test splits, metrics, model comparison)","Intermediate (hyperparameter tuning, cross-validation, feature engineering)","Expert (RAG at scale, fine-tuning/evals, safety/guardrails)",Basic (Streamlit/Gradio; simple hosting),"Intermediate (managed services: DB, queues, functions)",7–8 Comfortable (usually solve with docs/forums),"1. ML Engineering

2. Real-world Data Cleaning

3. Advanced Hyperparameter Tuning

 ","I don't think so, but my foundations in more of the DevOps side are pretty limited. ","I would love to delve into Docker and FastAPI if possible, and even deploying things to AWS or GCP would be an amazing experience in finally taking things out of our laptops and moving them to the Cloud. Learning more about production-grade packages like Optuna or Nixtla would also be an amazing experience, and really focusing on the large, messy datasets that are often seen in the real world. "
36,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)",Basic (matplotlib/Excel charts),"Projects (train/val/test splits, metrics, model comparison)","Intermediate (hyperparameter tuning, cross-validation, feature engineering)",No LLM experience,Basic (Streamlit/Gradio; simple hosting),,7–8 Comfortable (usually solve with docs/forums),"1. Better understanding of the implementation of ML models

2. Business applications of data science / ML

3. Working more with GitHub and deployment",No,"Deployment, Tableau/PowerBI, applications of ML"
37,"Advanced (testing, packaging, async, profiling)","Intermediate (branching, merging, pull requests)","Basic (remove duplicates, simple imputations)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)",Basic (matplotlib/Excel charts),Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),No LLM experience,,"Intermediate (managed services: DB, queues, functions)","5–6 Neutral (can try first, then seek help)","* learn more of what goes into the topic and the ins and outs 

* improve what i already know to better myself

* gain any needed skills to help in the future",Not really. Just the things listed here that i have little to no experience in and how it will impact how i do in the course.,I dont have any specific topics 
38,"Basic (variables, loops, lists; simple scripts)","Basic (clone, add, commit, push)",,"Basic (descriptives, simple plots)","Intermediate (seaborn/plotly; multi-facet charts, interactive)",Theoretical only (coursework/reading),Basic (scikit-learn pipelines; standard models),No LLM experience,Basic (Streamlit/Gradio; simple hosting),,"5–6 Neutral (can try first, then seek help)","* Learn to ask the right questions that push thinking

* Data visualization that is clear and concise to all departments of a company

* Work on profienciy of Python coding",Just making sure I'm proficient enough in Python coding to keep up. Will study outside of class!,"Power BI and Tableau since those are an industry standard.

Also, the background themes and libraries that are prevalent in industries. "
39,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)","Advanced (model selection under constraints, calibration, interpretability)","Intermediate (code gen/debugging, data exploration)",Basic (Streamlit/Gradio; simple hosting),"Intermediate (managed services: DB, queues, functions)",7–8 Comfortable (usually solve with docs/forums),"Improve my ML skills

Go further in depth with Git/Github

Have a better understanding of EDA",I do not have any concerns. I feel like the work I have done in previous courses have prepared me for this course.,I would love to go further in depth with Git/Github as well as data visualizations.
40,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)",,"Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),No experience,,No LLM experience,,"Basic (compute/storage setup, permissions basics)",1–2 Very uncomfortable (need step-by-step guidance),"Learn more specifics on machine learning and llms.

Learn more technical skills for data visualization and data cleaning .

Learn more about how to ace interviews for both technical and behavioral.",I don't have a strong technical background and don't feel like I learned much from previous data studio courses due being unmedicated and having adhd it was really hard to focus in the previous courses.,"power bi, tableau, machine learning models, AI"
41,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)","Intermediate (hyperparameter tuning, cross-validation, feature engineering)","Intermediate (code gen/debugging, data exploration)",Basic (Streamlit/Gradio; simple hosting),,7–8 Comfortable (usually solve with docs/forums),"1. I want to get better at working with API's and other deployment strategies

2. I want to better understand how to clean and process data

3. I want to get better at creating meaningful plots and visualizations",I have no experiences with cloud technologies and little experience with API's / deployment,Just excited to learn about the business models portion of this course
42,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)",Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",Basic (Streamlit/Gradio; simple hosting),"Intermediate (managed services: DB, queues, functions)",7–8 Comfortable (usually solve with docs/forums),"-Learn more about data visualization

-Learn how to properly clean and handle data

-Strengthen coding skills and understanding for interviews",,"Python, SQL, & business analytic/data analytical tools, cloud computing like AWS"
43,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)",Advanced (dashboards/storytelling; audience-appropriate design),Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",Basic (Streamlit/Gradio; simple hosting),,"5–6 Neutral (can try first, then seek help)","1. Learn how to gather and clean data so I can begin working on projects and finding solutions.

2. Understanding predictive analytics and how to use ML and functions to create insights.

3. Developing skills in different softwares like PowerBI, Tableau, Streamlit, and other applications that can assist my projects outside of coding and data visualizations. ",I have no concerns about the challenges and expectations of this course. ,"seaborn, Tableau/PowerBI/Streamlit, github, KNN and other ML models, matplotlib, and SQL"
44,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)","Intermediate (seaborn/plotly; multi-facet charts, interactive)",Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",,"Basic (compute/storage setup, permissions basics)","5–6 Neutral (can try first, then seek help)",Learn,"Learn how to predictive model
Better visualization
Strengthen public speaking","Seaborn, Matplotlib, Git in general, modeling and debugging."
45,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)","Intermediate (hyperparameter tuning, cross-validation, feature engineering)","Intermediate (code gen/debugging, data exploration)",Intermediate (Flask/FastAPI on VM; env management),"Basic (compute/storage setup, permissions basics)",7–8 Comfortable (usually solve with docs/forums),"Expand my knowledge on coding

Learn more about the data science field/jobs

Apply my work in class to the real world",,I hope to cover whatever is needed for me to succeed.
46,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)","Intermediate (seaborn/plotly; multi-facet charts, interactive)",Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),"Advanced (API usage, structured prompting, small RAG apps)",,,3–4 Somewhat uncomfortable (prefer close support),"To learn how to build  predicitive analytics model

Expand my knowledge of data analysis and representation

Learn how to debug","Coding, in particualr practical application and debugging, isn't my strongest area in data science and I often struggle.","Pandas, Seaborn, PowerBI"
47,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)","Intermediate (seaborn/plotly; multi-facet charts, interactive)",Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),"Advanced (API usage, structured prompting, small RAG apps)",Basic (Streamlit/Gradio; simple hosting),"Basic (compute/storage setup, permissions basics)","5–6 Neutral (can try first, then seek help)","Just want to see improvement in different areas of predictive analytics, coding, etc.",My studio 1 professors weren't great and in studio 2 there were several things that they said we should have learned in studio 1 which I hadn't and felt behind in different areas. hopefully that's not the case in this course but not sure yet.,honestly anything.
48,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)","Intermediate (hyperparameter tuning, cross-validation, feature engineering)","Intermediate (code gen/debugging, data exploration)",Basic (Streamlit/Gradio; simple hosting),"Intermediate (managed services: DB, queues, functions)",7–8 Comfortable (usually solve with docs/forums),"Become more comfortable with using LLMs and the code related.

Work on projects that use large scale models.

Gain experience with a more professional setting.",None.,"I would love to cover some stuff like Flask and FastAPI for deployment and maintenance purposes, because I am largely unfamiliar with those. Would also like to cover some libraries like scikit-learn, and how to expand on those from a basic modeling project using a simple dataset like in Studio 2 to using them the same way they would be used professionally."
49,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)",,"Intermediate (seaborn/plotly; multi-facet charts, interactive)",Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",,,3–4 Somewhat uncomfortable (prefer close support),"* To get more comfortable with data visualization

* More practice manipulating large data sets

* More experience with machine learning","Yes, I only recently started coding this past year so I worry many of my classmates and peers already have a leg up on me.","I hope we use Tableu, SQL, and continue using python libraries like sklearn and pandas."
50,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),Theoretical only (coursework/reading),Basic (scikit-learn pipelines; standard models),No LLM experience,Intermediate (Flask/FastAPI on VM; env management),"Basic (compute/storage setup, permissions basics)","5–6 Neutral (can try first, then seek help)","* Continue learning the fundamentals

* Meet high quality people

* Focus on understanding",I need to refresh my memory for basic technical terminologies.,LLMs
51,"Advanced (testing, packaging, async, profiling)","Intermediate (branching, merging, pull requests)","Advanced (pipeline automation, leakage checks, reproducible transforms)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)",Advanced (dashboards/storytelling; audience-appropriate design),Tutorials completed (fit/predict on standard datasets),"Intermediate (hyperparameter tuning, cross-validation, feature engineering)","Intermediate (code gen/debugging, data exploration)",Basic (Streamlit/Gradio; simple hosting),"Basic (compute/storage setup, permissions basics)",7–8 Comfortable (usually solve with docs/forums),"* Have an advanced knowledge of ML tooling

* Have a good background on working with LLM's and AI concepts with ML 

* Have good hands on experience doing all of this, learning from the mistakes, and building","I want to continue to refine my knowledge to be job-ready, so the more practice and exposure I can get","scikit-learn, cloud products, "
52,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)",Basic (matplotlib/Excel charts),Theoretical only (coursework/reading),"Intermediate (hyperparameter tuning, cross-validation, feature engineering)","Intermediate (code gen/debugging, data exploration)",,,3–4 Somewhat uncomfortable (prefer close support),"Understand new coding languages

Be able to set up more visualizations

Have a better understanding of the ethics and morality with ai",Not exactly,Restrictions against AI or laws against it.
53,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Basic (descriptives, simple plots)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)",Basic (scikit-learn pipelines; standard models),No LLM experience,Basic (Streamlit/Gradio; simple hosting),,"5–6 Neutral (can try first, then seek help)","-Want to learn more about how to apply skills in business setting

-Hope to increase skillset to help my career in short/far future

-Want to learn about things I dont currently have knowledge about such as LLMs, Cloud, Deployments",Not at all,"Some cool things to go over would be streamlit (I have bare experience in), some tools like tableau or powerbi which I use for my co-op currently but want to learn the best way to apply them in a business setting and use them effectively."
54,"Intermediate (functions/classes, pandas/numpy, file I/O)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)",Advanced (dashboards/storytelling; audience-appropriate design),"Pro/Research (reproducible workflows, error analysis, reporting)",Basic (scikit-learn pipelines; standard models),"Advanced (API usage, structured prompting, small RAG apps)",,"Intermediate (managed services: DB, queues, functions)","5–6 Neutral (can try first, then seek help)","get as much information as i can to be able to apply it in the real world. dive in more into data sets and statistics, and business analytics. ",no,"tableau, power bi"
55,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),No experience,,"Intermediate (code gen/debugging, data exploration)",,,"5–6 Neutral (can try first, then seek help)","Become more proficient in data science tools including Tableau, Powerbi, Python

Explore and learn more about LLMS and Machine Learning

Better myself and learn more about EDAs",None :),"LLMS, machine learning, tableau, powerbi, python"
56,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)",,"Intermediate (seaborn/plotly; multi-facet charts, interactive)",Theoretical only (coursework/reading),,"Intermediate (code gen/debugging, data exploration)",,,"5–6 Neutral (can try first, then seek help)","* Understand and implement predictive analytics techniques

* Learn what the job market is looking for, and how to ""get ahead"" of AI 

* Get out of my comfort zone and conduct smaller solo research projects using unknown tools (ex. PowerBI), data cleaning",I feel like my technical background in Java/Python (the prereqs) were not sufficient in teaching data analysis skills required in this course.,"Tableau, PowerBI, some SQL"
57,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)","Intermediate (seaborn/plotly; multi-facet charts, interactive)","Projects (train/val/test splits, metrics, model comparison)",Basic (scikit-learn pipelines; standard models),"Intermediate (code gen/debugging, data exploration)",,"Expert (cost/perf optimization, observability, security posture)",7–8 Comfortable (usually solve with docs/forums),"Learn how to leverage ai in professional world

learn analytic or what the data means and how it can benefit me

LLM",No,Cloud!
58,"Basic (variables, loops, lists; simple scripts)","Intermediate (branching, merging, pull requests)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)","Intermediate (seaborn/plotly; multi-facet charts, interactive)",No experience,,No LLM experience,Advanced (Docker/Compose; CI(Continuous integration for simple apps),,"9–10 Very comfortable (systematic, persistent, document findings)","1. ML engineering

2. Data pipelines

3. Data Cleaning",No,"Tableu, Prefect, Streamlit"
59,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Basic (remove duplicates, simple imputations)","Basic (descriptives, simple plots)",Basic (matplotlib/Excel charts),Theoretical only (coursework/reading),Basic (scikit-learn pipelines; standard models),No LLM experience,,"Basic (compute/storage setup, permissions basics)",1–2 Very uncomfortable (need step-by-step guidance),"Be more advanced in coding

More efficient in multiple languages

Let it stick in my head",That i'll have to relearn it make it stick in my head further.,I don't have any specific wants
60,"Intermediate (functions/classes, pandas/numpy, file I/O)","Basic (clone, add, commit, push)","Intermediate (joins/merges, outlier handling, feature scaling/encoding)","Intermediate (groupby, multi-variate plots, basic hypothesis checks)","Intermediate (seaborn/plotly; multi-facet charts, interactive)",Tutorials completed (fit/predict on standard datasets),Basic (scikit-learn pipelines; standard models),No LLM experience,Basic (Streamlit/Gradio; simple hosting),"Basic (compute/storage setup, permissions basics)",3–4 Somewhat uncomfortable (prefer close support),"* learn skills for internship search

* data visualization practice

* get better at debugging",,
